"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.61864,0.9468,0.75799,0.71778,0.73341,0.93382,0.99336,1.2682,1.2161,0.91493,0.91445,0.57283,0.66581,0.59949,1.0862,0.55611,0.45461,0.4782,1.7015,0.92122,0.76963,1.2946,1993
0.71539,1.0235,0.67025,0.67418,1.1392,1.037,0.99716,1.2804,1.1569,0.89714,0.91732,0.80249,0.85187,0.7099,0.5844,0.54852,0.61069,0.41427,1.8417,1.0334,1.0797,0.81803,1994
0.8525,0.62634,0.68469,0.67816,1.0476,1.0157,0.80166,0.93542,0.99514,0.8149,0.73379,0.78812,0.67347,0.73363,0.73099,0.43295,0.73654,0.52907,1.7498,1.035,0.98079,0.88245,1995
0.76222,1.0661,0.55283,0.63582,0.90278,0.94054,1.0959,1.0134,0.71932,0.85651,0.7187,0.77716,0.6953,0.514,0.78261,0.39076,0.3849,0.54134,1.3056,0.96929,1.0706,1.1252,1996
0.77632,0.89372,0.50903,0.65497,0.91002,1.0974,1.1195,1.2973,1.107,0.86287,0.96492,0.97905,0.62471,0.46909,0.70725,0.58859,0.44949,0.2688,1.8667,0.85314,0.8674,1.0065,1997
0.73978,0.83117,0.59154,0.66618,0.94015,1.0457,0.83302,1.4299,1.0452,0.79944,0.87721,0.72903,0.69327,0.46599,0.8924,0.55366,0.60782,0.45632,1.6487,0.82152,0.99891,0.93763,1998
0.58199,0.74548,0.59386,0.58864,1.044,1.0897,0.80378,1.664,0.92608,0.91781,0.91464,0.6925,0.80224,0.55416,0.82368,0.68371,0.26932,0.59659,1.7688,0.93018,0.92596,0.96973,1999
0.7439,0.88078,0.64931,0.59302,0.98098,1.0844,0.92926,0.76422,0.98771,0.78756,0.86598,0.58044,0.56268,0.6814,0.67588,0.51527,0.35767,0.58004,1.7714,1.1046,0.73517,1.2143,2000
0.88459,0.70779,0.70855,0.64557,0.94854,1.1076,1.0211,1.3916,1.0116,0.71361,0.70195,0.73526,0.56096,0.45629,0.75935,0.60037,0.32196,0.69629,1.1232,0.82189,0.9581,1.1846,2001
0.92948,0.64714,0.51481,0.59734,1.0707,0.92805,0.76335,1.0384,1.0332,0.90716,1.0704,0.7824,0.52596,0.54007,0.87759,0.60689,0.69783,0.58873,1.6711,1.0373,1.1615,1.2215,2002
0.73839,0.92619,0.64885,0.7586,0.98089,0.79049,1.0906,1.3079,1.1956,0.94125,0.97714,0.8306,0.63912,0.56233,1.1348,0.49225,0.59316,0.5363,1.7259,0.93891,1.4137,1.0876,2003
0.71335,0.79932,0.53901,0.82538,1.0395,0.95865,1.1086,1.3008,1.0448,0.91309,0.96956,0.76139,0.78361,0.54736,0.81915,0.45812,0.46406,0.30834,1.4666,0.82689,1.1251,1.0363,2004
0.90783,0.95804,0.69992,0.73479,0.91894,1.1208,1.0796,1.2691,0.84112,0.81371,0.62185,0.70256,0.81865,0.52213,0.7693,0.52715,0.45359,0.4725,1.7588,0.99148,0.89396,1.1488,2005
0.72722,0.94685,0.47409,0.6344,0.85698,0.95096,0.94922,1.6005,0.94738,0.91054,0.77538,0.80565,0.7325,0.48606,0.85396,0.65008,0.59852,0.49005,1.5948,1.0433,0.76777,0.9058,2006
