"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.38038,0.41175,0.27549,0.15529,0.24812,0.28737,0.58039,0.60016,0.37363,0.18029,0.2289,0.36219,0.4675,0.18217,0.27801,0.15375,0.21307,0.21577,0.34623,0.46097,0.34193,0.60205,2000
0.31596,0.48125,0.3568,0.21703,0.2149,0.41403,0.51362,0.52107,0.43912,0.29564,0.28269,0.4323,0.22449,0.2055,0.19161,0.18558,0.26871,0.33284,0.46958,0.44262,0.34251,0.45465,2001
0.50529,0.4465,0.39707,0.25266,0.18919,0.36744,0.80834,0.55026,0.43321,0.33403,0.18714,0.46134,0.40095,0.20792,0.22892,0.16284,0.18732,0.28466,0.40308,0.36555,0.2919,0.21325,2002
0.49059,0.48015,0.38418,0.17941,0.12942,0.31282,0.61101,0.67025,0.2325,0.31587,0.35449,0.32001,0.42104,0.177,0.21749,0.1794,0.2935,0.21582,0.39556,0.4176,0.43192,0.19391,2003
0.35295,0.5169,0.26272,0.25138,0.28041,0.39152,0.71978,0.62255,0.21291,0.36085,0.30942,0.35023,0.39653,0.17373,0.26362,0.14711,0.42443,0.27951,0.32947,0.37882,0.16555,0.42746,2004
0.3216,0.2525,0.33123,0.1287,0.17557,0.33778,0.44888,0.58118,0.44536,0.30236,0.29294,0.41445,0.43264,0.1595,0.2043,0.081054,0.27096,0.20775,0.5849,0.52717,0.38655,0.44295,2005
0.48356,0.38822,0.26481,0.19133,0.19362,0.38073,0.85661,0.58934,0.4721,0.39376,0.3717,0.46709,0.55368,0.19637,0.28761,0.13294,0.25426,0.28966,0.61969,0.33912,0.24972,0.49401,2006
0.52084,0.32944,0.3257,0.19562,0.20269,0.39576,0.72565,0.43526,0.24113,0.29892,0.40854,0.3779,0.54077,0.17105,0.26055,0.13565,0.17145,0.29492,0.49433,0.50539,0.31704,0.14522,2007
0.43689,0.47192,0.37055,0.22569,0.069823,0.31462,0.58427,0.39144,0.3504,0.44643,0.34739,0.55668,0.50565,0.19832,0.22757,0.12555,0.12502,0.26361,0.40781,0.34369,0.28869,0.29849,2008
0.36675,0.43211,0.37235,0.26798,0.33717,0.45205,0.62462,0.59229,0.39425,0.25365,0.30657,0.37292,0.50657,0.13622,0.15551,0.15076,0.30681,0.21586,0.35394,0.39772,0.278,0.4035,2009
0.35798,0.47014,0.31084,0.22578,0.17831,0.44183,0.52118,0.65452,0.34235,0.40397,0.41799,0.35467,0.407,0.16568,0.2295,0.16933,0.24983,0.19889,0.61647,0.42111,0.3367,0.42758,2010
0.43439,0.40896,0.27992,0.22313,0.28119,0.28908,0.56219,0.37405,0.43063,0.3475,0.21363,0.52241,0.44328,0.19467,0.2706,0.16728,0.21979,0.2405,0.47813,0.3793,0.24345,0.37472,2011
0.44162,0.28296,0.40529,0.22414,0.26679,0.29506,0.48352,0.58535,0.44154,0.43321,0.50546,0.33118,0.49035,0.15946,0.20785,0.13624,0.25167,0.32519,0.47173,0.5329,0.21711,0.54671,2012
0.49809,0.43984,0.37941,0.24103,0.27761,0.36071,0.57393,0.56444,0.34405,0.35537,0.35347,0.38249,0.5313,0.14208,0.19288,0.17014,0.23888,0.26905,0.25511,0.47213,0.41661,0.33798,2013
