"model1","model2","model3","model4","model5","model6","model7","model8","model9","model10","model11","model12","model13","model14","model15","model16","model17","model18","model19","model20","model21","model22","year"
0.33864,0.36686,0.49337,0.29461,0.39221,0.37089,0.62731,1.1154,0.58381,0.36085,0.47388,0.47864,0.4134,0.41807,0.51714,0.27473,0.20108,0.18304,0.94782,0.63265,0.35854,0.2683,1998
0.43418,0.45881,0.40253,0.51794,0.3043,0.51186,0.83241,1.0922,0.13399,0.26675,0.51729,0.30851,0.48803,0.42645,0.71403,0.28066,0.30106,0.50391,0.85796,0.53656,0.54198,0.74701,1999
0.38744,0.45867,0.38793,0.4952,0.24869,0.52304,1.0613,0.70814,0.31537,0.31328,0.36039,0.44349,0.48481,0.47526,0.59,0.31959,0.22633,0.30239,1.001,0.59718,0.32602,0.18295,2000
0.36524,0.43612,0.43566,0.42883,0.50376,0.51769,0.73684,1.1357,0.47994,0.48162,0.26997,0.38965,0.39707,0.65438,0.66413,0.26264,0.30605,0.36753,0.81507,0.65231,0.35982,0.55726,2001
0.30505,0.37979,0.38766,0.46282,0.63656,0.56944,0.83214,0.79381,0.51451,0.36223,0.15048,0.34877,0.44401,0.49897,0.55103,0.23741,0.27318,0.20187,1.0244,0.73364,0.62144,0.47614,2002
0.51219,0.51973,0.33023,0.42866,0.45157,0.49647,1.0289,0.63928,0.37439,0.39925,0.43659,0.56447,0.39316,0.38621,0.73087,0.341,0.20574,0.30489,0.82106,0.41363,0.50784,0.68923,2003
0.24378,0.36901,0.56123,0.45454,0.58002,0.80285,0.88074,0.97166,0.26731,0.50258,0.21231,0.39578,0.5271,0.429,0.35668,0.28319,0.33027,0.35678,0.96336,0.6435,0.4628,0.51101,2004
0.30282,0.40499,0.33822,0.45438,0.37964,0.69817,1.0357,1.0713,0.46272,0.34704,0.30047,0.40697,0.46036,0.42625,0.59963,0.26274,0.35738,0.32471,1.0675,0.38331,0.45868,0.51094,2005
0.55945,0.32831,0.26979,0.40237,0.30671,0.53411,0.5307,0.82043,0.62479,0.43615,0.41469,0.30349,0.44383,0.49066,0.80758,0.21571,0.2759,0.26046,0.91941,0.58213,0.39216,0.38621,2006
0.42321,0.32165,0.39662,0.43616,0.42247,0.45343,0.97175,0.78677,0.36475,0.4078,0.28632,0.35691,0.40537,0.51393,0.52434,0.23924,0.32417,0.37509,1.0822,0.70773,0.46837,0.48439,2007
0.34388,0.40253,0.47204,0.4986,0.36851,0.63598,1.0044,0.7065,0.45139,0.45521,0.44646,0.43643,0.5087,0.32404,0.55978,0.31945,0.32053,0.20251,1.0508,0.3695,0.4294,0.32977,2008
0.39064,0.48436,0.41769,0.43553,0.36519,0.50423,0.78414,0.94227,0.56048,0.22754,0.34545,0.48801,0.49568,0.37774,0.56904,0.32931,0.3056,0.27328,1.0119,0.40648,0.44653,0.63848,2009
0.3323,0.45104,0.45361,0.42218,0.61884,0.4356,0.8064,1.0789,0.50638,0.33041,0.45697,0.36446,0.4518,0.45223,0.49279,0.52914,0.26559,0.2584,0.85013,0.42081,0.18177,0.64581,2010
0.4097,0.44114,0.4757,0.25645,0.50968,0.55555,1.0131,1.1108,0.46084,0.24903,0.35993,0.52454,0.36734,0.44937,0.78826,0.40519,0.12058,0.25872,0.95231,0.37209,0.30696,0.5025,2011
0.29966,0.51851,0.30562,0.39099,0.6103,0.33346,0.93608,1.0351,0.3537,0.39152,0.43997,0.61718,0.4813,0.51993,0.61991,0.27968,0.37497,0.23646,0.87954,0.38547,0.57535,0.55893,2012
0.44681,0.50435,0.49938,0.38387,0.50103,0.48372,0.92406,0.55057,0.52668,0.32629,0.46031,0.50903,0.37618,0.50309,0.71537,0.32884,0.38113,0.33649,0.91772,0.35461,0.27649,0.59796,2013
0.33489,0.304,0.41731,0.39712,0.32379,0.47987,0.69409,0.91386,0.46049,0.47877,0.41253,0.38545,0.50991,0.45013,0.63517,0.34939,0.37663,0.30282,0.8102,0.56419,0.41288,0.33588,2014
0.3833,0.44588,0.4359,0.48502,0.6772,0.57366,0.86984,1.0657,0.23392,0.45999,0.36019,0.27873,0.34594,0.47912,0.46887,0.27439,0.31192,0.22176,1.2888,0.52376,0.1859,0.46845,2015
0.33235,0.43496,0.32344,0.39,0.40953,0.52793,0.89698,1.1109,0.44086,0.45213,0.47596,0.54986,0.3705,0.3759,0.601,0.35071,0.28388,0.25845,1.0613,0.48331,0.44785,0.31775,2016
0.48742,0.38919,0.50241,0.67238,0.5344,0.4144,0.8225,0.83085,0.43778,0.42917,0.30384,0.35998,0.50653,0.61669,0.43054,0.1024,0.49928,0.21411,0.86318,0.67424,0.53132,0.5802,2017
0.41579,0.29354,0.47793,0.51219,0.47154,0.36953,0.9294,0.93328,0.46739,0.41031,0.43189,0.28231,0.47222,0.5055,0.66918,0.31662,0.37382,0.36722,0.8246,0.72573,0.49699,0.58025,2018
0.24256,0.41407,0.42393,0.39526,0.48592,0.48444,0.81819,1.1431,0.42033,0.46641,0.40513,0.35068,0.43738,0.528,0.70634,0.33852,0.30575,0.22114,1.0393,0.44992,0.43556,0.45019,2019
0.28021,0.50909,0.44683,0.42294,0.27687,0.56894,0.80564,0.80328,0.2984,0.29881,0.30638,0.36825,0.32904,0.41268,0.58367,0.26588,0.28999,0.31383,0.95928,0.5095,0.26971,0.53099,2020
0.28719,0.35975,0.47565,0.49147,0.36574,0.47341,0.77336,0.79559,0.53317,0.44899,0.25652,0.48661,0.57805,0.49772,0.55144,0.35367,0.1876,0.27382,1.0369,0.42965,0.30546,0.44726,2021
0.32616,0.35051,0.50559,0.52733,0.35416,0.50546,0.89779,1.209,0.65343,0.37769,0.38688,0.52265,0.55508,0.28624,0.59491,0.26862,0.39517,0.28981,1.0833,0.38403,0.39955,0.37801,2022
0.35345,0.57945,0.37112,0.39233,0.26162,0.57028,1.169,1.0673,0.41658,0.49484,0.51132,0.52091,0.50462,0.47497,0.68678,0.4242,0.31799,0.41167,1.1212,0.74257,0.48549,0.51254,2023
0.35597,0.30457,0.32621,0.48449,0.43352,0.57917,0.94126,1.1159,0.6173,0.43771,0.32557,0.48837,0.51049,0.4912,0.60872,0.39678,0.35281,0.16219,1.2266,0.49022,0.4875,0.42554,2024
0.39768,0.39771,0.37202,0.39192,0.40518,0.46656,0.71928,1.1459,0.3737,0.41258,0.40031,0.45259,0.50502,0.36034,0.69145,0.21803,0.31919,0.32584,0.99797,0.44113,0.35234,0.36693,2025
0.33999,0.34985,0.2873,0.38179,0.34374,0.55271,0.68316,0.83682,0.47144,0.46166,0.30845,0.40867,0.48471,0.51612,0.65689,0.42915,0.33736,0.32723,1.1129,0.36125,0.62897,0.49713,2026
0.26448,0.51893,0.38604,0.48105,0.50866,0.41751,0.79687,1.0234,0.56829,0.37336,0.39136,0.55235,0.37039,0.54672,0.6439,0.28598,0.29875,0.31711,0.70517,0.51291,0.41517,0.45605,2027
0.29107,0.34838,0.40152,0.41691,0.4286,0.54652,1.0202,1.0171,0.52546,0.40644,0.42382,0.30335,0.38121,0.31053,0.59892,0.36858,0.36096,0.2822,0.779,0.48756,0.48751,0.39709,2028
0.36195,0.58502,0.39247,0.50721,0.67802,0.39789,0.77608,0.8008,0.34347,0.57223,0.48627,0.31802,0.3674,0.38076,0.72196,0.14717,0.41851,0.40356,1.0412,0.67089,0.24282,0.59701,2029
0.48335,0.41234,0.38606,0.44082,0.57237,0.41841,0.913,1.0024,0.58598,0.42143,0.4758,0.45027,0.25346,0.49008,0.5452,0.29234,0.25867,0.19699,0.89295,0.63384,0.4751,0.56175,2030
0.40467,0.30605,0.40952,0.54033,0.33623,0.49697,1.0592,0.88283,0.65588,0.37878,0.35433,0.5769,0.31821,0.33758,0.60423,0.28858,0.3872,0.29674,0.8797,0.59029,0.38005,0.37787,2031
0.36755,0.41039,0.54517,0.43124,0.65845,0.46086,0.65721,0.92417,0.63049,0.52194,0.21891,0.34519,0.55036,0.45585,0.57722,0.38565,0.24521,0.25935,1.0387,0.46565,0.45322,0.59708,2032
0.48658,0.48228,0.25613,0.34801,0.5735,0.4743,1.0947,0.86422,0.56624,0.45706,0.49339,0.35385,0.44994,0.60565,0.83167,0.4019,0.38857,0.21467,0.69595,0.42686,0.39976,0.6822,2033
0.21372,0.29508,0.46603,0.56104,0.56003,0.63824,1.0333,0.87149,0.73643,0.39206,0.48289,0.50019,0.48787,0.42123,0.57313,0.34372,0.36291,0.34815,0.87635,0.52063,0.39221,0.4876,2034
0.34643,0.47597,0.28506,0.36344,0.47379,0.64347,0.95892,1.0152,0.52863,0.49458,0.39338,0.42379,0.52406,0.3306,0.80615,0.31345,0.35407,0.30187,1.1088,0.55728,0.36517,0.54863,2035
0.58394,0.53565,0.44995,0.53312,0.3637,0.5979,0.85295,0.78897,0.47091,0.29757,0.41635,0.54396,0.65828,0.46596,0.64959,0.20707,0.34296,0.29697,1.2716,0.89806,0.46653,0.40444,2036
0.29268,0.3955,0.40841,0.36699,0.35625,0.65938,1.0162,1.2839,0.36496,0.39366,0.54021,0.48216,0.4756,0.53332,0.71707,0.37747,0.45245,0.45033,0.81734,0.70644,0.29728,0.72095,2037
0.4973,0.54849,0.32739,0.30291,0.40797,0.55088,0.97885,1.1022,0.56389,0.37257,0.44068,0.3827,0.43611,0.60557,0.6443,0.26513,0.32732,0.23616,1.0581,0.75643,0.5585,0.49572,2038
0.38381,0.54163,0.36885,0.30121,0.39053,0.55936,0.74133,1.0438,0.4061,0.53138,0.43902,0.4009,0.40105,0.54917,0.80523,0.31549,0.47371,0.33554,0.71554,0.76615,0.45945,0.51627,2039
0.37968,0.60684,0.45577,0.47997,0.51212,0.6021,0.84805,0.84627,0.46741,0.38556,0.41198,0.64452,0.44165,0.53211,0.78331,0.40013,0.43894,0.35652,0.87921,0.65693,0.56201,0.63479,2040
0.37979,0.36345,0.29912,0.47625,0.78506,0.44316,0.99113,1.1802,0.6279,0.42289,0.45099,0.46309,0.47404,0.57819,0.61579,0.34039,0.27762,0.41604,1.1084,0.61939,0.34772,0.6186,2041
0.43071,0.47404,0.50403,0.46151,0.69641,0.75854,1.3335,1.0612,0.41099,0.50741,0.44349,0.38323,0.47249,0.42809,0.61902,0.37353,0.38753,0.38259,1.2163,0.55429,0.45152,0.72065,2042
0.40085,0.42219,0.37252,0.37955,0.47705,0.4767,0.76515,1.1434,0.53999,0.40124,0.3852,0.38732,0.4297,0.52017,0.69709,0.30255,0.31276,0.33415,1.0246,0.75888,0.4979,0.66738,2043
0.50668,0.38133,0.39646,0.45435,0.28114,0.50873,0.98608,1.1811,0.64183,0.51519,0.52271,0.55619,0.42282,0.5018,0.68681,0.3955,0.30185,0.25869,1.2339,0.58293,0.44442,0.64477,2044
